,game_fr,game_en,platform,website_rating,public_rating,publishor/developer,release,type,classification,url,description
14298,Strania,y: Stranga,360,14/20,17/20,G.Rev,30 Mars 2011,Shoot'em Up,Unknown,http://www.jeuxvideo.com/jeux/xbox-360/00038880-strania.htm," Qui a dit que le shoot'em up était un genre dépassé qui n'avait plus sa place sur les consoles du XXIème siècle ? Si les jeux de ce type ont malheureusement un peu de mal à s'imposer dans les rayons de nos boutiques, ils fleurissent joyeusement sur les plates-formes de téléchargement. C'est ainsi que l'on peut fêter l'arrivée sur le Xbox Live Arcade du dernier bébé du studio G.rev à qui l'on doit déjà les excellents Border Down et Under Defeat."
14299,Strata,Strata,iOS,14/20,16/20,Graveck,20 Juin 2013,Réflexion Puzzle-Game,Unknown,http://www.jeuxvideo.com/jeux/jeu-81404/," On pensait avoir déjà tout vu en matière de puzzle-game pour, au choix, muscler ses neurones ou tuer l'ennui. Et puis Strata arrive pour mettre à mal notre esprit d'analyse et d'anticipation. Défi accepté."
14300,Strata,Strata,Android,14/20,--/20,Graveck,20 Juin 2013,Réflexion Puzzle-Game,Unknown,http://www.jeuxvideo.com/jeux/jeu-81404/," On pensait avoir déjà tout vu en matière de puzzle-game pour, au choix, muscler ses neurones ou tuer l'ennui. Et puis Strata arrive pour mettre à mal notre esprit d'analyse et d'anticipation. Défi accepté."
14301,Strata,Strata,PC,14/20,--/20,Graveck,20 Juin 2013,Réflexion Puzzle-Game,Unknown,http://www.jeuxvideo.com/jeux/jeu-81404/," On pensait avoir déjà tout vu en matière de puzzle-game pour, au choix, muscler ses neurones ou tuer l'ennui. Et puis Strata arrive pour mettre à mal notre esprit d'analyse et d'anticipation. Défi accepté."
14302,Strata,Strata,Mac,14/20,--/20,Graveck,20 Juin 2013,Réflexion Puzzle-Game,Unknown,http://www.jeuxvideo.com/jeux/jeu-81404/," On pensait avoir déjà tout vu en matière de puzzle-game pour, au choix, muscler ses neurones ou tuer l'ennui. Et puis Strata arrive pour mettre à mal notre esprit d'analyse et d'anticipation. Défi accepté."
14303,Strategic Command,Strategic Command,PC,14/20,17/20,Fury Software Most Wanted Entertainment,14 Novembre 2003,Wargame,Unknown,http://www.jeuxvideo.com/jeux/pc/00011847-strategic-command.htm," Déjà disponible en Allemagne où il a eu un beau succès, le wargame au tour par tour Strategic Command arrive aujourd'hui en France dans une version entièrement localisée. Habituellement, ce style de jeu particulier, difficile et austère, ne s'adresse qu'aux fans du genre, alors qu'en est-il de ce nouvel arrivant ?"
14304,Strategic Command 2,Strategic Command 2: Blitzkrieg,PC,14/20,15/20,Fury Software Anuman Interactive,27 Septembre 2006,Wargame,+3 ans,http://www.jeuxvideo.com/jeux/pc/00015635-strategic-command-2.htm," Après la bonne surprise que fut Strategic Command premier du nom, les développeurs se sont remis au travail pour nous proposer une suite plus riche, plus complète mais pas forcément beaucoup plus jolie, car malgré quelques améliorations notables sur le plan graphique, ce second volet reste moche. Mais ça, les amateurs de wargames en tour par tour n'y prêteront probablement aucune attention puisque c'est avant tout le gameplay qu'ils disséqueront."
14305,Stratego Next Edition,Stratego: Next Edition,DS,8/20,14/20,Ubisoft,06 Juin 2008,Réflexion Stratégie,+3 ans,http://www.jeuxvideo.com/jeux/nintendo-ds/00021116-stratego-next-edition.htm," Jeu de plateau bien connu des stratèges amateurs, Stratego fait aujourd'hui l'objet d'une adaptation DS minimaliste. Si son mode multijoueur peut éventuellement distraire quelques heures, le mode solo s'essouffle hélas très rapidement."
14306,Street Fighter,Street Fighter,Amiga,12/20,10/20,Nintendo Capcom Nec Interchannel Go!,1988,Combat,Unknown,http://www.jeuxvideo.com/jeux/jeu-72836/," Après s'être essayé au développement de jeux de plates-formes avec un certain succès, Capcom décide de faire table rase et de s'attaquer aux jeux de combat jusque-là dominés par les beat'em all et les simulations sportives. Le studio prend le pari de marier ces deux genres pour en créer un nouveau basé sur des combats de rue. Mélange improbable ou idée de génie ? La réponse dans ce test."
14307,Street Fighter,Street Fighter,ST,12/20,--/20,Nintendo Capcom Nec Interchannel Go!,1988,Combat,Unknown,http://www.jeuxvideo.com/jeux/jeu-72836/," Après s'être essayé au développement de jeux de plates-formes avec un certain succès, Capcom décide de faire table rase et de s'attaquer aux jeux de combat jusque-là dominés par les beat'em all et les simulations sportives. Le studio prend le pari de marier ces deux genres pour en créer un nouveau basé sur des combats de rue. Mélange improbable ou idée de génie ? La réponse dans ce test."
14308,Street Fighter : The Movie,Street Fighter: The Movie,PS1,7/20,13/20,Acclaim Capcom,1995,Combat,+3 ans,http://www.jeuxvideo.com/jeux/jeu-56271/," Si je vous dis que Balrog est cameraman, que Bison fait 40 kilos tout mouillé, que Dhalsim est un scientifique, que Vega n'a aucun charisme, et que Guile est le plus grand philosophe belge de tous les temps, vous me répondez ? Street Fighter : L'Ultime Combat, la transposition cinématographique du célèbre jeu de combat. Imaginez maintenant que cette adaptation discutable soit elle-même adaptée en jeu vidéo. Le cercle infernal, la spirale de la folie... Mais restons «aware» et voyons ensemble ce que le jeu a dans le ventre."
14309,Street Fighter 2010 : The Final Fight,Street Fighter 2010: The Final Fight,Nes,14/20,8/20,Capcom,02 Octobre 2014,Action Plate-Forme Combat,Unknown,http://www.jeuxvideo.com/jeux/jeu-64861/," Deux ans après la sortie de Street Fighter, Capcom fait évoluer la licence avec un spin-off futuriste du jeu de combat. Et cette fois-ci, ce n’est pas Ryu mais Ken qui tient le premier rôle dans une aventure interstellaire mêlant jeu d’aventure, de plates-formes et de combat. Cet hybride venu de l’espace risque bien de troubler les fans de la première heure mais qu’en est-il réellement ?"
14310,Street Fighter 30th Anniversary Collection,Street Fighter: 30th Anniversary Collection,PC PS4 ONE,14/20,15.3/20,Capcom,29 Mai 2018,Action Combat,Unknown,http://www.jeuxvideo.com/jeux/jeu-762930/,"Il a trente ans et les mâchoires de ses habiles protagonistes n’ont clairement plus toutes leurs dents. Street Fighter souffle aujourd’hui ses bougies au-dessus d’un gâteau estimé à plus de 39 millions de parts vendues à travers le monde. À cette occasion, la série paye son coup en proposant d’en donner sur 12 épisodes sortis entre 1987 et 1999. Par l’intermédiaire de cette compilation, Capcom vise une nouvelle fois les fans, mais le géant japonais a cette fois-ci de sérieux arguments pour les faire craquer une ultime fois."
14311,Street Fighter Alpha : Warriors' Dreams,Street Fighter Alpha: Warriors' Dreams,Saturn,16/20,17.3/20,Virgin Interactive Capcom,Décembre 1995,Combat,+3 ans,http://www.jeuxvideo.com/jeux/jeu-56272/," Sans doute conscient d'avoir frappé un grand coup avec son Street Fighter 2, Capcom prendra un certain temps avant de lui donner une suite digne de ce nom. L'éditeur préférera en effet dans un premier temps faire durer le plaisir et multiplier les différentes versions de cette franchise, que ce soit sur arcade ou sur les consoles 16 bits de l'époque. Ce n'est qu'en 1995 que le renouveau de la licence pointe le bout de son nez. Surprise, ce n'est pas Street Fighter 3 qui débarque, mais Street Fighter Alpha. Intéressons-nous aujourd'hui à la version Saturn de ce titre."
14312,Street Fighter Alpha 2,Street Fighter Alpha 2,Saturn,17/20,20/20,Capcom,1996,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-56273/," Capcom n'aura pas mis très longtemps pour offrir une suite à son Street Fighter Alpha, sorti initialement en 1995 sur la borne d'arcade CPS 2. L'éditeur japonais ne mettra en effet que quelques mois pour finaliser sa suite directe, sobrement baptisée Street Fighter Alpha 2. Comme pour l'épisode précédent, des conversions consoles furent rapidement mises en chantier, et c'est fort logiquement que la Saturn de Sega accueille en 1996 le titre dans sa ludothèque."
14313,Street Fighter Alpha 3,Street Fighter Alpha 3,PSP,12/20,19/20,Crawfish Interactive Capcom Ubisoft,Août 1999,Combat,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64240/," Des jeux de baston, y'en a beaucoup sur Playstation. Capcom retente sa chance sur ce secteur avec un nouvel épisode de la célèbre saga : Street Fighter Alpha 3. Je commence à croire qu'on a pas fini d'entendre des ""Hadoken !"" et des ""Sonic boom !"" sur nos écrans de télévision..."
14314,Street Fighter Alpha 3,Street Fighter Alpha 3,GBA,16/20,19/20,Crawfish Interactive Capcom Ubisoft,Août 1999,Combat,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64240/," Je suis une série de jeux vidéo mondialement connue. Mon principe consiste à me battre contre des adversaires toujours plus puissants. Fort de mon succès, je suis adapté sur plusieurs supports et ma dernière conversion s'est faite sur GBA, je suis, je suis, je suiiiiis...? Street Fighter Alpha 3 ?! Oh OUI, gagné !"
14315,Street Fighter Alpha 3,Street Fighter Alpha 3,DCAST,13/20,19/20,Crawfish Interactive Capcom Ubisoft,Août 1999,Combat,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64240/," Dernier épisode en date des Street Fighters, Capcom nous pond ici la quintessence de ses jeux de baston 2D. Longtemps attendue, la version Dreamcast ne déçoit pas et offre toute la richesse dont est capable la série... Enfin !"
14316,Street Fighter Alpha 3,Street Fighter Alpha 3,PS1,12/20,19/20,Crawfish Interactive Capcom Ubisoft,Août 1999,Combat,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64240/," Des jeux de baston, y'en a beaucoup sur Playstation. Capcom retente sa chance sur ce secteur avec un nouvel épisode de la célèbre saga : Street Fighter Alpha 3. Je commence à croire qu'on a pas fini d'entendre des ""Hadoken !"" et des ""Sonic boom !"" sur nos écrans de télévision..."
14317,Street Fighter Alpha 3 Max,Street Fighter Alpha 3 MAX,PSP,14/20,16.1/20,Capcom,10 Mars 2006,Combat,+3 ans,http://www.jeuxvideo.com/jeux/playstation-portable-psp/00015193-street-fighter-alpha-3-max.htm," Ne se décidant visiblement pas à inclure un magnifique 4 après le patronyme de sa célèbre série de jeux de combat, Capcom continue de rajouter des ""alpha"" par ici, des ""hyper"" par là et des ""supreme tournament power extended beta extreme"". Fort heureusement nous avons seulement droit aujourd'hui à un petit et esseulé ""max"", qui signifie dans ce langage si particulier que le soft est le même que son ancêtre, mais pas trop en fait. Reconnu comme étant l'un des titres majeurs de la saga, Street Fighter Alpha 3 se met donc en tête de venir redistribuer ses mandales enflammées sur la console la plus hype du marché. Que va donner cette union déjà consommée ? Un kimono, un bandeau et on est parti."
14318,Street Fighter Alpha Anthology,Street Fighter: Alpha - Anthology,Unknown,13/20,--/20,Unknown,Unknown,Unknown,Unknown,None," Grands amateurs de compilations, voire de compilations de compilations, nos amis de chez Capcom sont également d'immenses fans de la première lettre de l'alphabet grec, à savoir alpha. C'est donc émus par cette passion commune qu'ils ont décidé avec un grand sourire de composer un petit Street Fighter Alpha Antology au bon goût d'antan. Regroupement des plus grands combattants de la galaxie virtuelle, ce titre met côte à côte des Balrog, des Ryu, des Zangief et des Blanka. Une belle réunion de famille mais un casse-tête pour placer les personnes au bon endroit à la grande table des jeux de baston. Car un Bison près d'un Guile, ça fait forcément du grabuge. Voyons voir si ces énervés arrivent tout de même à se supporter le temps d'un tournoi."
14319,Street Fighter Anniversary Collection,Street Fighter: Anniversary Collection,Unknown,12/20,--/20,Unknown,Unknown,Unknown,Unknown,None," Conjointement à SNK qui fête les 10 ans de la série The King Of Fighters, Capcom a soufflé l'année dernière les 15 bougies de sa saga star, Street Fighter. Pour l'occasion, la firme japonaise nous a concocté une petite compilation réunissant Hyper Street Fighter II et surtout Street Fighter III : 3rd Strike, sorti uniquement sur Dreamcast. Profitant aujourd'hui de l'option Xbox Live pour dénicher des combattants du monde entier, le titre s'offre donc des allures de pièce incontournable, mais comme on dit, les apparences sont parfois trompeuses."
14320,Street Fighter EX2 Plus,Street Fighter EX Plus α,PS1,13/20,14.6/20,Virgin Interactive Capcom,Juin 2000,Action,+12 ans,http://www.jeuxvideo.com/jeux/playstation-ps1/00003704-street-fighter-ex2-plus.htm," La série des Street Fighters, c'est un peu comme le phare qui accompagne les testeurs de jeux... Une sorte de baromètre qui nous fait dire que la cuvée est bonne cette année ou que la saison a été trop pluvieuse. Il a un ptit goût de rance cette année le Street Fighter."
14321,Street Fighter EX3,Street Fighter EX3,PS2,13/20,13.5/20,Capcom Arika,08 Mars 2001,Combat,+12 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00005182-street-fighter-ex3.htm," Comme promis, après l'arrêt de la série sur Playstation, Capcom poursuit la saga légendaire sur PS2, et c'est Street Fighter EX 3 qui fait suite au précédent Street Fighter EX 2 Plus de la PSX. Un manque certain d'originalité dans les noms qui se retrouve également au niveau du contenu ludique du jeu. Un épisode toujours en 3D qui ne propose finalement pas grand-chose de nouveau et décevra même les inconditionnels de la série. On attendait plus du premier Street Fighter de la PS2."
14322,Street Fighter II,Street Fighter II,GB,13/20,19/20,US Gold Capcom,Septembre 1992,Combat,+3 ans,http://www.jeuxvideo.com/jeux/jeu-82325/," A force de se taper dessus, les héros de Street Fighter II ont dû finir par devenir proches et discutent probablement de ce qui est passé à la télé la veille entre deux combats. Malheureusement pour eux, ces moments de repos doivent être bien courts, vu le rythme auquel les joueurs les poussent à s’affronter. Et quand ceux-ci ont eu pour la première fois la possibilité de les emmener avec eux pour se faire un petit tournoi n’importe où, nos stakhanovistes de la baston ont dû penser à créer un syndicat…"
14323,Street Fighter II,Street Fighter II,SNES,18/20,19/20,US Gold Capcom,Septembre 1992,Combat,+3 ans,http://www.jeuxvideo.com/jeux/jeu-82325/," Tout commence un beau de jour de 1987, en salle d’arcade. Street Fighter vient soudainement révolutionner les bornes des adeptes des jeux de combat, jusqu’alors drogués au beat’em all. Un décor fixe, un face-à-face, deux jauges de vie : le versus fighting 2D était né, ses bases étaient posées. Le temps passe et, d’année en année, le souvenir de la révolution s’efface dans tous les esprits. Tous ? Non. Capcom, conscient du potentiel infini de son jeu, lui prépare une suite qui bouleversera à jamais le jeu vidéo."
14324,Street Fighter II,Street Fighter II,Wii,18/20,--/20,US Gold Capcom,Septembre 1992,Combat,+3 ans,http://www.jeuxvideo.com/jeux/jeu-82325/," Tout commence un beau de jour de 1987, en salle d’arcade. Street Fighter vient soudainement révolutionner les bornes des adeptes des jeux de combat, jusqu’alors drogués au beat’em all. Un décor fixe, un face-à-face, deux jauges de vie : le versus fighting 2D était né, ses bases étaient posées. Le temps passe et, d’année en année, le souvenir de la révolution s’efface dans tous les esprits. Tous ? Non. Capcom, conscient du potentiel infini de son jeu, lui prépare une suite qui bouleversera à jamais le jeu vidéo."
14325,Street Fighter II Turbo : Hyper Fighting,Street Fighter II Turbo,Wii,18/20,19/20,Capcom,1992,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-82324/," 1992, Capcom crée une révolution dans le monde du jeu vidéo et présente Street Fighter II. Le titre deviendra à jamais un modèle pour tous les jeux de combat qui tenteront par la suite de le copier avec plus ou moins de brio. Loin de s'en tenir à ce premier succès, Capcom récidive avec Street Fighter II Turbo afin de contenter les fans qui en demandent encore plus. Simple opération commerciale ou jeu indispensable pour les fans du premier opus ? La réponse à la fin de ce test."
14326,Street Fighter II Turbo : Hyper Fighting,Street Fighter II Turbo,SNES,18/20,--/20,Capcom,1992,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-82324/," 1992, Capcom crée une révolution dans le monde du jeu vidéo et présente Street Fighter II. Le titre deviendra à jamais un modèle pour tous les jeux de combat qui tenteront par la suite de le copier avec plus ou moins de brio. Loin de s'en tenir à ce premier succès, Capcom récidive avec Street Fighter II Turbo afin de contenter les fans qui en demandent encore plus. Simple opération commerciale ou jeu indispensable pour les fans du premier opus ? La réponse à la fin de ce test."
14327,Street Fighter III 3rd Strike : Online Edition,Street Fighter III: Third Strike - Online Edition,PS3,18/20,17.1/20,Capcom,23 Août 2011,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-77244/," Capcom a bien retenu la devise qui dit que les meilleures soupes sont faites dans les vieilles marmites. En effet, l'éditeur n'en finit plus de proposer des remakes ou des rééditions de ses plus grands titres. Les plates-formes de téléchargement de nos consoles ont ainsi récemment accueilli des versions remises au goût du jour de Super Street Fighter II Turbo et de Marvel vs Capcom 2. C'est désormais le mythique Street Fighter III 3rd Strike qui s'y colle pour nous revenir dans une Online Edition vraiment très alléchante."
14328,Street Fighter III 3rd Strike : Online Edition,Street Fighter III: Third Strike - Online Edition,360,18/20,--/20,Capcom,23 Août 2011,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-77244/," Capcom a bien retenu la devise qui dit que les meilleures soupes sont faites dans les vieilles marmites. En effet, l'éditeur n'en finit plus de proposer des remakes ou des rééditions de ses plus grands titres. Les plates-formes de téléchargement de nos consoles ont ainsi récemment accueilli des versions remises au goût du jour de Super Street Fighter II Turbo et de Marvel vs Capcom 2. C'est désormais le mythique Street Fighter III 3rd Strike qui s'y colle pour nous revenir dans une Online Edition vraiment très alléchante."
14329,Street Fighter III Double Impact,Street Fighter III: Double Impact,DCAST,13/20,15.9/20,Virgin Interactive Capcom,15 Septembre 2000,Action,+3 ans,http://www.jeuxvideo.com/jeux/dreamcast-dcast/00004056-street-fighter-iii-double-impact.htm," Capcom revient à la charge avec un Street Fighter de plus. Après les séries Alpha, Turbo et autres, voici donc non pas un, mais deux hits issus des bornes d'arcade : Street Fighter 3 et son petit frère Double Impact."
14330,Street Fighter III Third Strike,Street Fighter III: Third Strike - Online Edition,PS2,16/20,17.7/20,Capcom Virgin Interactive,15 Décembre 2000,Action Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-58061/," King of Fighters 12, Blazblue, Street Fighter 4 : les jeux de combat reviennent clairement sur le devant de la scène en 2009. Il n'est donc pas inutile de se replonger dans un épisode culte de la saga de Capcom : Street Fighter III 3rd Strike. Une saga qui a décliné son gameplay à toutes les sauces depuis ses débuts en 1987, autant en 2D qu'en 3D. Des années plus tard, l'engouement généré par ce titre est resté intact auprès des amateurs de jeux de combat. Retour sur une des pierres angulaires de la baston 2D."
14331,Street Fighter III Third Strike,Street Fighter III: Third Strike - Online Edition,DCAST,13/20,17.7/20,Capcom Virgin Interactive,15 Décembre 2000,Action Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-58061/," Une fois de plus, Ryu et toute l'équipe de Street Fighter débarquent sur Dreamcast pour prolonger la désormais longue liste des titres de la série. Une succession de softs qui nous feraient presque nous demander si ce nouvel opus à une quelconque légitimité ou s'il s'agit bien plus d'une véritable vache à lait !"
14332,Street Fighter IV,Street Fighter IV,PC,18/20,16/20,Capcom,20 Février 2009,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-66681/,Les joueurs PC auront dû patienter quatre longs mois de plus que les possesseurs de PS3 et de Xbox 360 pour mettre finalement leurs mains sur Street Fighter IV. Ce n'est finalement pas grand-chose lorsque l'on compare cette attente aux dix ans qui nous ont séparés du précédent volet de la série. D'ailleurs on pourra difficilement reprocher à Capcom d'avoir pris son temps vu la qualité de cette adaptation PC. La version en question n'a en effet pas à rougir de la comparaison avec ses grandes sœurs sorties sur console.
14333,Street Fighter IV,Street Fighter IV,360,18/20,16/20,Capcom,20 Février 2009,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-66681/,Dix ans ! Voilà le temps qu'il nous a fallu attendre pour mettre enfin la main sur un nouvel opus de Street Fighter. Capcom ne s'est pas vraiment pressé pour nous offrir un épisode original et s'est longtemps contenté de faire vivre sa série mythique à grands coups de compilations ou d'anthologies. Le défi que doit relever ce Street Fighter IV est double : son nouveau système de jeu et son design plutôt particulier doivent faire leurs preuves auprès d'un public de fans très exigeants sans pour autant rebuter les joueurs moins expérimentés.
14334,Street Fighter IV,Street Fighter IV,PS3,18/20,--/20,Capcom,20 Février 2009,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-66681/,Dix ans ! Voilà le temps qu'il nous a fallu attendre pour mettre enfin la main sur un nouvel opus de Street Fighter. Capcom ne s'est pas vraiment pressé pour nous offrir un épisode original et s'est longtemps contenté de faire vivre sa série mythique à grands coups de compilations ou d'anthologies. Le défi que doit relever ce Street Fighter IV est double : son nouveau système de jeu et son design plutôt particulier doivent faire leurs preuves auprès d'un public de fans très exigeants sans pour autant rebuter les joueurs moins expérimentés.
14335,Street Fighter V,Street Fighter V,PC PS4,18 /20,10/20,Capcom,16 Février 2016,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-82737/,"Depuis sa sortie début 2016, Street Fighter V a beaucoup évolué, engrangeant une communauté forte derrière lui. Mais si une bonne partie des ajouts étaient connus avant la sortie, d’autres modes s’ajoutent à la fête jusqu’à cette Arcade Edition qui entame la troisième saison. Alors, Street Fighter V vaut-il le coup aujourd’hui ? "
14336,Street Fighter V,Street Fighter V,PC PS4,17/20,10/20,Capcom,16 Février 2016,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-82737/,"Le voici, le voilà, le Street Fighter nouveau est arrivé ! Après des bêtas qui ont battu leur plein malgré un démarrage compliqué, la version finale promet de la baston fun, qui allie à la fois accessibilité et technicité. Pari réussi."
14337,Street Fighter X Mega Man,Street Fighter X Mega Man,PC,15/20,15.6/20,Capcom,17 Décembre 2012,Action Plate-Forme,Unknown,http://www.jeuxvideo.com/jeux/pc/00047371-street-fighter-x-mega-man.htm," Il y avait de multiples façons de fêter les 25 ans de Mega Man. Mais quel meilleur hommage peut-on faire au Blue Bomber qu'un titre qui s'inspire directement de ses années fétiches, l'époque 8-bits ? Et tant qu'à faire, pourquoi ne pas lui offrir des adversaires à la taille de sa renommée ?"
14338,Street Fighter X Tekken,Street Fighter X Tekken,Vita,16/20,16.1/20,Bandai Namco Capcom,09 Mars 2012,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-75421/,Il aura fallu patienter plus de 7 mois avant que Street Fighter X Tekken ne daigne sortir sur PlayStation Vita. Cette longue attente valait-elle au moins le coup ?
14339,Street Fighter X Tekken,Street Fighter X Tekken,360,17/20,16.1/20,Bandai Namco Capcom,09 Mars 2012,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-75421/," Après nous avoir offert quelques cross-over plutôt originaux ces dernières années, Capcom réunit aujourd'hui deux des plus célèbres séries de combat dans un titre riche en castagne. Le roi de la 2D Street Fighter et le champion de la 3D Tekken s'affrontent-ils pour le meilleur ou pour le pire ? Réponse dans ce test."
14340,Street Fighter X Tekken,Street Fighter X Tekken,PS3,17/20,--/20,Bandai Namco Capcom,09 Mars 2012,Combat,+12 ans,http://www.jeuxvideo.com/jeux/jeu-75421/," Après nous avoir offert quelques cross-over plutôt originaux ces dernières années, Capcom réunit aujourd'hui deux des plus célèbres séries de combat dans un titre riche en castagne. Le roi de la 2D Street Fighter et le champion de la 3D Tekken s'affrontent-ils pour le meilleur ou pour le pire ? Réponse dans ce test."
14341,Street Gears,Street Gears,PC,14/20,15.7/20,Gala-Net Nflavor,05 Mars 2009,MMO Sport,+3 ans,http://www.jeuxvideo.com/jeux/pc/00022666-street-gears.htm," Street Gears fait partie des titres qui font du MMO un genre plus ouvert et plus grand public qu'il n'y paraît. Si Empire of Sports mise sur l'exhaustivité des disciplines, Street Gears préfère s'attarder sur un sport plus marginal, le roller, une pratique idéale pour relayer ce sentiment de liberté dans les déplacements que tout bon MMO doit proposer."
14342,Street Hoops,Street Hoops,PS2,14/20,14.8/20,Activision Black Ops Entertainment,27 Septembre 2002,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61424/," Mis à part s'empiffrer au Mac Do, qu'est-ce que les jeunes américains adorent faire avant tout ? Se défier sur des terrains de baskets, bien sûr ! Activision tente de leur rendre hommage avec un Street Hoops assez maladroit. Loin des simulations sponsorisées par la NBA c'est bien de streetball dont il s'agit ici, et le premier qui me demande où est Kobe Bryant se prend une claque !"
14343,Street Hoops,Street Hoops,Xbox,14/20,--/20,Activision Black Ops Entertainment,27 Septembre 2002,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61424/," Mis à part s'empiffrer au Mac Do, qu'est-ce que les jeunes américains adorent faire avant tout ? Se défier sur des terrains de baskets, bien sûr ! Activision tente de leur rendre hommage avec un Street Hoops assez maladroit. Loin des simulations sponsorisées par la NBA c'est bien de streetball dont il s'agit ici, et le premier qui me demande où est Kobe Bryant se prend une claque !"
14344,Street Legal,Street Legal,PC,4/20,12/20,Invictus,07 Novembre 2003,Course,+3 ans,http://www.jeuxvideo.com/jeux/pc/00010381-street-legal.htm," Déjà sorti depuis l'année 2002 aux Etats-Unis, voilà que Street Legal débarque en Europe via la gamme Titanium de Nobilis. Et le moins que l'on puisse dire, c'est qu'il aurait mieux valu qu'il n'arrive jamais dans nos contrées tant ce jeu est mauvais sur tous les plans."
14345,Street Legal Racing Redline,Street Legal Racing: Redline,PC,4/20,14.5/20,Activision Invictus,25 Juin 2004,Course,+12 ans,http://www.jeuxvideo.com/jeux/pc/00012566-street-legal-racing-redline.htm," Accrochez-vous, car ce que je vais vous dire risque de choquer les personnes les plus sensibles. Le studio Invictus a décidé, envers et contre tout, de développer une suite au pitoyable Street Legal. Travaillant d'arrache-pied dans l'ombre pendant au moins plusieurs jours de suite, l'équipe d'Invictus a osé dépoussiérer le moteur de jeu du premier volet pour le ressortir au grand jour sous le nom de Street Legal Racing Redline. Je vous laisse imaginer l'ampleur des dégâts."
14346,Street Racer,Street Racer,SNES,15/20,16.2/20,"Ubisoft Sears, Roebuck and Co. Acid Software Vivid Image ",Novembre 1994,Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-55876/," Le 2 Avril 1993. C'est en cette magnifique journée de Printemps que débarquait chez nous un jeu qui allait à jamais changer la face du monde, que dis-je, de l'univers tout entier ! Bon c'est un peu exagéré, mais la première apparition de Mario Kart sur Super Nintendo a été un tel succès qu'aujourd'hui encore, le plombier moustachu continue de faire parler la carapace sur chacune des consoles de Nintendo. Bien entendu, un tel triomphe ne pouvait pas laisser indifférents certains développeurs, désireux de surfer sur la vague dorée. Et c'est ainsi qu'à peine un an plus tard, l'ambitieux Street Racer pointait le bout de son nez."
14347,Street Racing Syndicate,SRS: Street Racing Syndicate,Xbox,10/20,16.5/20,Hip Interactive Eutechnyx Codemasters Namco,04 Mars 2005,Course,+12 ans,http://www.jeuxvideo.com/jeux/jeu-61943/," Un lampadaire, un banc, une lueur. Lorsque l'on parcourt une ville à une centaine de kilomètres par heure, on ne peut apercevoir que des bribes de vie, des éclats de décors indéfinis. Mais pourquoi cette soudaine bravade contre la loi, pourquoi cette prise de risque inconsidérée ? Tout simplement dans un pur esprit de compétition. Effectivement, de nos jours les courses automobiles ne se font plus dans des circuits réglementés, mais dans les rues luminescentes de nos cités urbaines égayées par des ballets de spoilers, de néons colorés et de jantes de plus ou moins de pouces. Fort heureusement, il existe également des ""runs"" réglementés, évitant démembrements de chats ou encore concassages incontrôlés de véhicules. SRS aborde t-il de manière ouverte ces deux côtés ?"
14348,Street Racing Syndicate,SRS: Street Racing Syndicate,PS2,10/20,--/20,Hip Interactive Eutechnyx Codemasters Namco,04 Mars 2005,Course,+12 ans,http://www.jeuxvideo.com/jeux/jeu-61943/," Un lampadaire, un banc, une lueur. Lorsque l'on parcourt une ville à une centaine de kilomètres par heure, on ne peut apercevoir que des bribes de vie, des éclats de décors indéfinis. Mais pourquoi cette soudaine bravade contre la loi, pourquoi cette prise de risque inconsidérée ? Tout simplement dans un pur esprit de compétition. Effectivement, de nos jours les courses automobiles ne se font plus dans des circuits réglementés, mais dans les rues luminescentes de nos cités urbaines égayées par des ballets de spoilers, de néons colorés et de jantes de plus ou moins de pouces. Fort heureusement, il existe également des ""runs"" réglementés, évitant démembrements de chats ou encore concassages incontrôlés de véhicules. SRS aborde t-il de manière ouverte ces deux côtés ?"
